sent	label
Remind me tomorrrow south club7pm meeting & also next year shivika program	meeting
Thanks for the alarm	the alarm
But how to add this reminder ?	Not Found
Remind me to get my kotak bank details at 7 pm today	get my kotak bank details
N also 5 more alarms within the gap of 5 mints	Not Found
Remind me for my car service on monday at 10:30	my car service
I want to close this reminder	close
Yes remind	Not Found
You have to remind me at 10:30	Not Found
Remind me to place Pioneer order at 10.50am tomorrow	place Pioneer order
Remind me once i reach Visakhapatnam	Not Found
On 9 nov at 11:00 am remind me of Ana problms Deepak book activa servicing n pages in that...	Ana problms Deepak book activa servicing n pages
Set it for 4th november , around 11am	Not Found
Please set a reminder for me to make a recharge and do paytm work at 4 PM today.	make a recharge and do paytm work
What about 2:30 P.M?	Not Found
Please remind me in every 2 hours	Not Found
Remind me of Sat Meetup at 10am	Sat Meetup
Please remind me at 6 clock ..that I have to go for medical shop	go for medical shop
My schedule pls	Not Found
Thanks a lot for the reminder	Not Found
Remind me to make chalans at 10.30pm	make chalans
Can You Plz Set A Reminder For 9 Am	Not Found
Just remind to start my assignment	start my assignment
Reminder at 10.11am	Not Found
Thanks for remind me.....😊	Not Found
Every day zpm and 7pm I must to call this number	I must to call this number
Remind me till 10pm	Not Found
Can you remind me to pay my Citibank credit card on Jan 2?	pay my Citibank credit card on Jan 2
Please set up these reminder everyday for me	Not Found
Pankaj plz set remainder for me today at 8:30 pm	Not Found
Can you change the reminder frequency?	Not Found
Thanks for reminding :-)	-)
Remind me to write a letter to my drawing officer.......at 8'o clock today.....	write a letter to my drawing officer.......at 8'o clock today.....
Remind me that I have to send photos for anoop(photo studio) by evening 7	send photos for anoop(photo studio)
Thnx for remembering everyday	Not Found
Are know anything about tomorrow weather report in my place	Are know anything about tomorrow weather report
I like these reminders , quite helpful.	quite helpful
Set as both call and notification	call and notification
I want called 8.30pm remember me	Not Found
Please remind me between 3pm to 5am	Not Found
Can I set the notification ring??	Not Found
Remind me tmrw at 6pm to send project message	send project message
Also can you remind me of music practice everyday?	Not Found
Remind me to visit university tomorrow at 3pm	visit university
Remind me to wish birthday Pawan at 3:33 pm today	wish birthday Pawan
Oky if you have any technical job opening than you can remind me too	Not Found
today at 11.59 to janab...	janab...
Plz remind me for my school today at 6:20am	my school
Can youcancel my reminder?	Not Found
Remind me of going to kalindi kunj at 9:30 in the morning	going to kalindi kunj
Thank you for reminding me.. You save my life.	Thank you for reminding me.. You save my life
Remind to do ppt at 5.00pm today	do ppt
Meeting Reminder Date: November 19, 2016 Time: 4 00 PM Meeting with: Register office Venue: Sastra	Not Found
8:30 am	Not Found
About you	Not Found
Remind me after 12 minutes	Not Found
Topya collect at 10.30 pm today reminder	Not Found
Can you remind me after 30min .	Not Found
Hey. Can you please discontinue the reminder at night	Not Found
Dear you remember something	Not Found
Thanks for the remainder tc	Not Found
Remember me that I have Tu Pan Cha attendance in 8:30 evening	Tu Pan Cha attendance
N calls too	Not Found
I want you to remind me at 10 am and 12 am twice	Not Found
After 10 am baby plz	baby plz
I want to get a sound alert	get a sound alert
I have changed the reminder to every 4 hours	Not Found
From tomorrow you remind me	Not Found
3:00pm remind me for study	study
Pl remind tomorrow 9:20 am I want o put some order in computer	Pl remind and I want o put some order in computer
Remind me of bank work	bank work
Can u please remind alarm	Not Found
Hey ankita, remind me of filling the form or CMAT tomorrow	filling the form or CMAT
What reminder i set today	Not Found
Call me tommarow morning 7.45am	Not Found
Set in reminder for 4 PM short leave	4 PM short leave
"Remind me at 10.20 a.m. today ""university letter preparation"""	university letter preparation
What is the reminder you set ?	What
Good morning	Not Found
Plz remind me to discuss about sindhu with team	discuss about sindhu with team
I want to know about activate dnd in Vodafone	know about activate dnd in Vodafone
Remind on 9th	Not Found
What will be the reminder alarm tone?	Not Found
If i want to close the reminder what i have to do?	do?
Reminde to attend yoga class at 5.30 pm today	attend yoga class
I want alarm	Not Found
Hey thnx for d reminder !!	Not Found
At 12am	Not Found
Thx for the reminder	Not Found
9061428526	Not Found
Thanks for d reminders	d reminders
Can you please add a reminder to eat tablet	Not Found
Remind me to wash my bag at 2:00 PM OK?	wash my bag
i want to know about the cashback on transaction	know about the cashback on transaction
Set an remainder of 9:00 pm	Not Found
Set	Not Found
Remind me to study case study of arpita pandey. Remind me today evening at 8pm.	study case study of arpita pandey. Remind
Just give me reminder at 8-30 pm	Not Found
Please remind me once at 10:30 Am	Not Found
Set a reminder for today evening at 6	Not Found
Remind me to get the jacket from Shukla	get the jacket
Call on 8123792843	Call
Remind me to wish ishtpreet when it is 11:59pm in California	wish ishtpreet when it
Schedule this for 1pm tomorrow	Not Found
Pls remind me at 12:30 pm tmrw to meet mr. SAMAHIT BAL.	meet mr. SAMAHIT BAL
Remainder for check attendance for cc	check attendance for cc
One more alarm pls	Not Found
Wish Birthday Name: Rina Date: November 15, 2016 Time: 11 38 pm	Not Found
After that Regularly, remind after to hrs	hrs
Thanks for the reminder....	Not Found
Repeat reminder every 5 min	Not Found
Hey I want u to cancle my hole schedule	cancle my hole schedule
Remind me at 9am	Not Found
Do u remind me if im offline	im offline
Meeting Reminder Date: November 10, 2016 Time: 4 49 PM Meeting with: Tution sir	Meeting with: Tution sir
Remind me over message	Not Found
Remind me to take a cheque to office tonight at 1130 pm	take a cheque to office
Hi thanks for the reminders. I would wish to discontinue	wish to discontinue
Remind me to pick up Charu at 12:45pm today	pick up Charu
Remind me tomorrow as well	Not Found
Remind me check 50 posters delivery to office on Monday at 10:15 am	check 50 posters delivery
Remind me of taking samsung charger and wires to carry for rehersal at 2.22	taking samsung charger and wires to carry for rehersal
Do will u remind?	Do will u remind
Please remember my friend birthday on 29th December	my friend birthday
Remind me to make office staff to set all the goods ....As per sales tax department	make office staff to set all the goods ....As per sales tax department
Hi. Please remind me tomorrow around 11am regarding the diabetes care program .	regarding the diabetes care program
I need a reminder tge day before as well at 6 pm	Not Found
Good morning!	Not Found
Can u remember me tomorrow I had to attend seminor at jain university	attend seminor
Thanks to remind me.	Not Found
Hey ya...that'd be really helpful	really helpful
Agar me call receive na kar saka to?	call receive na kar saka to?
schedule it like 7.00 7.05 7.10 7.15 7.20 n the last 7.30	Not Found
And when I will call me so plzz tell the institute fees ok	tell the institute fees ok
Just set an reminder for 10th and 18th dec	10th and 18th dec
Remind me to fuck my gf	fuck my gf
Remind me of REGISTRATION on 14 December 2016 at 10.30 am	REGISTRATION
Please set a timer for 1min	Not Found
The reminder	Not Found
Will you change the voice that which is remind	change the voice that which
R u serious u will remind me na??	Not Found
Can you tell me more about haptik	haptik
Can you plz set the alarm of 5minutes from yet	Not Found
i want more than 1 alarm	Not Found
Remind me to pay epf of bhupindra society	pay epf of bhupindra society
Plz remind me to wear Suit on 14th Nov 8.30 am	wear Suit
Remind me at 11.30 am	Not Found
Thanks for reminding.	Not Found
Remainder on 5th Jan 1:00pm	Not Found
I want to unsubscribe from dis reminder	Not Found
Thanks.Yes please remind me daily.can u pl send the reminders by SMS TO MY OTHER MOBILE 9038022999 which I always carry with me. Pl cnfm	u pl send the reminders and carry with me. Pl cnfm
How will I get the reminders?	How will I get the reminders
Reminder to cLl	Not Found
when is my next reminder	when
Pls set reminder to go to Shanti stores at 2.45 and 3 pm today	go to Shanti stores
I would like to know one more thing about haptik.	one more thing about haptik
Hey can you remind me everyday to take green tea after dinner @ 11 pm	take green tea after dinner
Is there any way of i want to deactivate this reminder?	deactivate
Okay make it for daily remind	Not Found
Can I plz remind me of tomorrows tomorrow's meeting with daphinies	meeting with daphinies
Give me a reminder at tommarow morning 10 for my exam	Give me a reminder and my exam
Remind me today 9 pm I have to check actual margin	check actual margin
Hey can you set a reminder on this Thursday for a gas booking	a gas booking
Please call me in 10 mins for rent payment	rent payment
I need to set an alarm	Not Found
Which reminder?	Not Found
Plesae remind me	Not Found
You should remind on jan1 at 12.00 am to wish	wish
Thanks i called	Not Found
Hey can you set reminder to vibrate mode. I wont be coming to know whether its time	vibrate mode. I wont be coming to know whether its time
Remind me on cover for umbrella	cover for umbrella
Please remind me at 12.45 today	Not Found
I have recharge rs. 100 but Cashback amount plz about me	recharge rs. 100 but Cashback amount
Can u remind me to see a rbi site at 11 am today	see a rbi site
Pls close all reminders	close all reminders
Akash alarm band kardo	Not Found
Alarm please	Not Found
How to activate DND	Not Found
Reminder to take tablets	take tablets
Remind me to go to tution on 8:30 PM today	go to tution
I need to set a reminder for today	Not Found
Remind me about order betadine	order betadine
Please remind me only through msj..	Not Found
Remind me of Amex card payment of rs 4260 by 08/12/16 11 am	Amex card payment of rs 4260
Will i get both call at 8:30 and 9:31	Will i get both call
Can you remind me to send 320 liters of milk and two 15 kg tin packs to a friend this afternoon?	send 320 liters of milk
Remind me to check Car's IDV value on previous insurance policy	check Car's IDV value on previous insurance policy
Can you send me a list of mnc in Ahmedabad	Not Found
Remind me to fuck her	fuck her
Remind me to go to library	go to library
Plzz set it	Not Found
Want to set an alarm	Not Found
For remind the things online is required	remind the things online
Remind me to visit time churchgate	visit time churchgate
Remind me to get kaaju on monday morning at 8am	get kaaju
Remind me tom to carry hard disk	carry hard disk
Remind me to fax apar papers to delhi tomorrow at 11.am	fax apar papers to delhi
5 December'16 6am Reminder	Not Found
Can you please remind to meet mr satvir in 5 minutes?	meet mr satvir
Remind me again at 11am	Not Found
Hey can you remind me to eat?	eat
Can u set a reminder	Not Found
Remind me to pay fees tomorrow	pay fees
Send me the reminder list once	Not Found
Hey, please remind me to draw cash in the morning!	draw cash
remind me to fill ITR on coming sunday 12pm	fill ITR on coming
Remind me to take dubbed frm home	take dubbed frm home
Hi please give me reminder at 3 PM today	Not Found
Make that 2 reminders	Not Found
Did u called Motorola service centre	Motorola service centre
Remind me to complete my assignments	complete my assignments
Remind that i need to go to function at today 9:00pm	go to function
Can u call on another number	call on another number
Remind me to download songs at 10 pm daily till 31st Dec 2016	download songs
Any reminder I have got	Not Found
This reminder is for what???	what???
The one which i hd set for today	Not Found
How will u remind me if I have closed this app..	How and I have closed this app
Also remind me to meet Mr. Rameshwar Prasad for NAGV meeting on 6th Dec 2016. Around 3-4 but confirm the time .	meet Mr. Rameshwar Prasad for NAGV meeting
Remind me to finish solid state chemistry and Electro stats	finish solid state chemistry and Electro stats
I want it to be set For daily	be set For daily
Sure.. Bt after sometime	Sure.. Bt
Reminder for gym at 5.55pm	gym
Can put a reminder for me	Not Found
Remind me to give money at 755 am	give money
I want to remove a reminder	Not Found
Remind me to do shoe shampoo tomorrow at 10pm	do shoe shampoo
And delete the call to 2 am	delete the call
Remind me abt tomorrow training	Not Found
Dec 22 12am & 6pm about jessys marriage	jessys marriage
Please set reminder for taking comb at 8:45 PM	taking comb
May I know more about DND?	more about DND?
Remind me every night at 11pm to right a gratitude note.	right a gratitude note
Remind me about drinking shake at 10pm today	drinking shake
Thanks for alaram calling	alaram calling
Thnkq for t reminder	Not Found
Reminder me to buy a mop, gloves, haircap	buy a mop, gloves, haircap
Remind me start home by 9pm	start home by 9pm
My reminder was on 3 PM	Not Found
Can you please set a reminder for me?	Not Found
Remainder this every month	Not Found
Remind me tomorrow at 11 a.m for light bill payment	light bill payment
Remind me to take money tomo at 8. Okay?	take money tomo
Let me think about it	think about it
Remind daily 4pm apitron tablet	Not Found
Remind to start my yoga at 7:15 today	start my yoga
Yes it was over	Not Found
I actually requested for a schedule change from today	requested for a schedule change
I will gv u a feedback after reminder. .ok	I will gv u a feedback
Do remind please though!	Not Found
Plz add a reminder for tomorrow morning at 1:00 pm	Not Found
Can this reminder be audible? Can it play some different tune	Can it play some different tune
Remind me to pay ICICI mutual fund every month on the 3rd	pay ICICI mutual fund
Plz write this subject on reminder	write this subject
Remind me tomorrow to send courier at 12 pm	send courier
Can u remember me for doing my homework	doing my homework
Remind me to make chocolate pan for my wife..	make chocolate pan for my wife
9 pm	Not Found
Please check my morning alarm ti. E	Not Found
Mehak Jain	Not Found
Can u remind me to read bible daily	read bible
I haven't get any reminder from u	Not Found
Thanks for reminding me for over few days now that I am used to for it you can deactivate this service ThAnks once again warm regards to all	Not Found
Hi wanna add reminder	Not Found
Ms.Shraddha?? You remember me	Not Found
Reminder with sound?	with sound
Remind same on 26, 27,28 November same time	Not Found
Remind me for closing the holes	closing the holes
Ya right but ur reminder every 1 hour	Not Found
Set up a snooze alarm too	Not Found
How can i check my existing reminders?	How can i check my existing reminders
Remind me on 8th Jan 6 am that I have to carry a watch with me for my exam	carry a watch with me for my exam
Remind me to withdraw cash on Wednesday at 12	withdraw cash
Can u plz close this reminder??	Not Found
Need a reminder...	Not Found
I want a reminder all day	Not Found
Could u let me know how many reminders are active for me as of now?	how many reminders
Remind me to go to gym today at 5:29	go to gym
I need a reminder on 8th and 22nd Jan	Not Found
Remind me to do pushup 5 times a day	do pushup 5 times a day
;_&():((&(__:;; ---&&- {script#} alert{script}	;; ---&&- {script#} alert{script}
I want to ask you about 500 and 1000 currency notes which are we need to change from bank	ask you about 500 and 1000 currency notes which are we need to change from bank
Sory for inconvenience sis..... Actually I woke up on early morning so I couldn't pick ur call.... Anyway thanks a lot to reach me.. : )	Sory for inconvenience sis..... Actually I woke up and )
Reminder for Mehtab birthday on 11 Jan!	Mehtab birthday
okkk nd if my mummy pick it up then dnt say anythng jst end da call	pick it up then dnt say anythng jst end da call
I dint get any remainder notification	Not Found
Remind me to collect report at 7:00 P. M. Today	collect report
Remind me to recharge my metro card in 1.5hrs	recharge my metro card
Plz give me a reminder tomorrow at 10 A.M to book tickets	book tickets
I had asked to set reminders only for a week but I'm getting reminders from the past one month	getting reminders
Hey add reminder for caling abhay surana payment	caling abhay surana payment
Sneha I need to buy furniture at 3pm remind me	buy furniture
Remind me to go washroom	go washroom
Market opens at 9:15 remind at 9:10am today	Market opens
Can you keep a record of my bije service so whenever i need i can see it?	keep a record of my bije service
Hi. Remind me to open coc after 8.45 hrs	open coc
remind me to study the gastro system today at 7 pm	study the gastro system
Remind me to pick 'ameya's lehnga and jewellery' at 6:00pm	pick 'ameya's lehnga and jewellery'
What do you think about this, will poor farmers who do hand to hand buissnes go under loss while they have savings to buy their fams and stuff... What are the demerits? And merits from this... What Is a middle man what's to send her daughter for higher studies to America, who has savings of lakhs of rs for her daughter.	Not Found
Reminder to purchase extension cord at 7.20 pm today	purchase extension cord
8 april at 11:55 PM	Not Found
Also keep alarm at 4:40 AM today	Also keep alarm
Remind me I want to renew my car insurance	renew my car insurance
Remind me to eat food at 8:43 today	eat food
Any other chat boxes than reminder?	Any other chat boxes than reminder
I need to ring it as alarm	Not Found
Remind me to wish Mansi Happy Birthday	wish Mansi Happy Birthday
Please Make a remainder to take lunch at 1 pm.	take lunch
Remind me to pay kotak bill tonight at 9 pm	pay kotak bill
On 23 is my friend birthday please remaind it	Not Found
Can you remind to take treatment?	take treatment
Can we send massage to others.. schedule	others.. schedule
Thanks. Can you remind me via text too?	via text too
Reminder to buy a tablet	buy a tablet
Remind me tonight I want make imran's flyer around6pm	Not Found
Hey.. I have a conference at 5pm.. on Friday so do remind me at around 2 pm ...	I have a conference
Heyyy remind me 2 tk meds at 2.00pm for 3 months...	tk meds and pm for 3 months...
Alarm 8:00am every day	Not Found
Please mark a reminder for 2nd december 2016. To visit 2 customer at Sanaswadi	visit 2 customer at Sanaswadi
Remind me abt my exam fees on jan 7 at 8am	my exam fees
Reminder doesn't get	doesn't get
Can u remind me of going to movie on dec 09	going to movie
Remind me to ask the same person about room rent and cash transfer	ask the same person about room rent and cash transfer
Is there an option to call more than once in case the call is unanswered?	there an option to call more than once in case the call
Set reminder for 30 december 8-30 Am for driving school	driving school
Meeting Reminder Date: January 24, 2017 Time: 9 00 a.m. Meeting with: Basirhat Tender Venue: Railway Tender	Railway Tender
Pls remind me to renew my train pass on 8th Feb 2017	renew my train pass
Remind me to write to xavier(X◇D) - Timezoned (T) 1T,2T,... n Series/anime's over theme of different times zones !! Let's see what the future looks like - Time a physical entity At 16:00hrs on 2 Jan 2016.	Not Found
Please remind of few things	Not Found
Want reminder for walk	walk
Remind me at 7am today	Not Found
Remind me at 2'o clock to message a friend	message a friend
Yeh	Not Found
Remind me to excercise tomorrow morning	excercise
Can you set alarm for tomorrow	Not Found
I want some caption about life	caption about life
Aunty speeches to upload in pendrive..pls remind me about that on saturday	Aunty speeches to upload in pendrive
At 10:30 remind me , hotel panchvati some work	hotel panchvati some work
Set the alarm for all working day	all working day
Remind me to take fish tank heater	take fish tank heater
Extremely tnx for remind me	Not Found
Please change the reminder time to 11:00AM	Not Found
Can u keep two reminders for me please?	Not Found
Set reminder 6am everyday	Not Found
Set alarm for 10:30 instead of 8:30 only for tomorrow	Not Found
Remind on Wednesday at 7.15 to watch obama farewell speech on. BBC	watch obama farewell speech on. BBC
Pl remind me on Monday 26th December 2016,5am to switch on STAR TV	switch on STAR TV
Is it mandatory for the data to be on for getting the reminder	it mandatory for the data and getting the reminder
Thanks for reminding in the afternoon...	reminding
Why did I get a call	Not Found
Is it.a call.reminder	it.a call.reminder
Can you remind me to take eyedrops every 3hrs?	take eyedrops every 3hrs
Account attached remainder	Not Found
The reminder was suppose to be for 8pm	Not Found
Remind it	Not Found
Remind me to give the envelope to Ayesha. Timing 8 pm	give the envelope to Ayesha. Timing
Please set a reminder for Monday	Not Found
10:30	Not Found
Will u remind me for exercise	exercise
Can you remind me to return the Myntra product at 10am on 10 Jan 2017	return the Myntra product
Remind me about turtle beach tonight at 11pm	turtle beach
Hey set a reminder for today around 11 am	Not Found
Vitamin D3 reminder on11th at 9 PM	Vitamin D3
Remind me for studying still 4 pm at 11:15	studying still
Calling to 3 date	Not Found
Remind me to take xerox	take xerox
Please remind me to have dinner in 10 minutes	have dinner
Wakeup alarm is in morning right	Wakeup alarm
1 pm call for medcine	call for medcine
Remind me at 11:00 am tomorrow to take my marksheet with me.	take my marksheet with me
Before leaving for the exam remind me to take the check and receipt for the fees	take the check and receipt for the fees
remind to collect info about voting in my society	collect info about voting
Could you please remind me to collect some documents from my sister	collect some documents from my sister
Pl remind me after 1 hour please	Not Found
Remind me to return money to canteen guy at 1.00 pm	return money to canteen guy
Please remind for my electricity bill payments tonight at 9.00	my electricity bill payments
Thanx Omkar am at Canon	Not Found
Can I know reviews about pathanjali kesh kanthi hair oil	reviews about pathanjali kesh kanthi hair oil
11:30 am reminding me for sale on flipkart	sale on flipkart
Set a daily reminder to buy eggs at 8 pm	buy eggs
@4.45	Not Found
Have to call today Ajjubhai at 11.30 am	Have to call today Ajjubhai
And call	Not Found
Just remind me to take my study board tomorrow 7 am	take my study board
Remind me at 1 jan for prashants sons birthday at 10.30am	jan for prashants sons birthday
Will u be calling me or will the reminder be in my phone	calling me or will the reminder be in my phone
And how will I be reminded?	Not Found
Remind me to SMS Rabari mad emb at 3:30 pm today please	SMS Rabari mad emb
Remind me daily	Not Found
I will let you know if needed	Not Found
Please remind me to kiss tanmay pradhan	kiss tanmay pradhan
Yes. Thank you.	Not Found
Remind me to pic CM Boi at 11 am	pic CM Boi
Can you remind me post 8 pm too?	Not Found
U also set calendars n events?	Not Found
Can you set reminder on monthly and weekly	on monthly and weekly
This last task remind me in 2 hour	Not Found
Remind me to eat egg	eat egg
Please keep reminding me at every 1 hour	keep reminding me
Remind me to write about load and vehicle details	write about load and vehicle details
Can u remind me every week on particular days like Thursday,Saturday,Sunday in evening at 6:00 pm to visit temple..	particular days like and visit temple..
Akash do you have facility for monthly reminders?	Akash do you have facility for monthly reminders
Remind me about Cashback expires in 05 days starting tomorrow 12 pm upto 05 days with day count decreasing successively.	Cashback expires and count decreasing successively
Please remind me to make dinner for rohit at 8PM	make dinner for rohit
I want both wakeup calls	wakeup calls
Pls remind me I need train to catch	catch
Pls deactivate all the reminders	deactivate all the reminders
hey can we pause these reminders for a few days	these reminders
Please remind me to ask my father for whole body check up on Sunday	ask my father and check up
Band kar do ye reminder...	do ye
At 10 Am	Not Found
6 pm remind me for order Milk	order Milk
Remind me a tv serial on sunday 7 pm ndtv amazon fashion week	tv serial
It's an intra app notification that doesn't help reminding me actually	It's an intra app notification that doesn't help reminding
Hi I need a reminder to pay rent & maintenance pls	pay rent & maintenance pls
Hi Khushboo thanks for the remember	Not Found
Ok.....it's a call right	it's a call right
I have one more to set can I??	set can I??
Deactivate my reminder	Not Found
Also remind me at 12 05 to confirm from me	confirm from me
Remind me at 6pm today	Not Found
At 8 am why did u send reminder of brinzox?	brinzox
Call siddhant. @ 10:45 am	Call siddhant
Thnku	Not Found
But i want this reminder daily	Not Found
Won't need the reminders	Not Found
Remind to pay credit card bill	pay credit card bill
Remind me to give documents to ashok mama tomorrow morning at 9 am	give documents to ashok mama
Set my reminder	Not Found
Thnx Ms Tanu for reminding me !	Not Found
Just remind me at 5:15am to get ready 4 exam	get ready 4 exam
Can you remind me to eat something every 2 hours starting 1:30 today?	eat something
Call tomorrow Shyam Bhaiya 18:00	Not Found
3 alarms dude	alarms dude
Pls remind I have to do my homework	do my homework
Plz remind me to mail the quote at 12	mail the quote
Plz remind me evry day plz	Not Found
Alarm on December 30 6:30am	Alarm
Can u help me about allo app	help me about allo app
Remind me after one minutes	Not Found
Reminder for filling reimbursement at 2pm today	filling reimbursement
Hy will u Remind me something	Not Found
Reminder at 11.15pm today oly	Not Found
Kindly give Reminder 2times atlest	Not Found
Reminder for PAN at 9:30 pm	PAN
I want to add another remainder	another remainder
Can you remind me of car foundation servicing at 11:30 am	car foundation servicing
Remind me at 3 pm tomorrow to send flowers to Dadu.	send flowers to Dadu
6	Not Found
Remind me to take out print of sal slip at 14.30 hrs today	take out print of sal slip at 14.30 hrs
i asked to remind from 12 noon till 12 midnight	Not Found
Mujay 6.25am 6.30am and 6.35am ko call karo today	ko call karo
Remind me to buy a refill at 10 20 am todau	buy a refill
Remind to pay rent	Not Found
Reminder set?	Not Found
Delete that remainder	Not Found
Reminder today at 5 PM	Not Found
Please make a reminder for everyday	Not Found
Will i get my 7 pm call	Not Found
Who will call me ?	Who will call me
U just talk about the reminder thing n nothing else	Not Found
You will call me or ?	call me or
Wake me up by today 6 am	Wake me up
Please remind me on the 28th.	Not Found
Can u schedule this time for rest of the week	Not Found
Remind me on 3rd January	Not Found
Remind me to learn speaking English	learn speaking English
Plz unsubscribe this reminder	Not Found
Can u put two alarms for me	alarms for me
Can you remind me to go for fuction at 3 pm today ?	go for fuction
can u plz tell me something about this app	something about this app
Please remind me that my fnds are going for outing tomorrow with me	my fnds are going for outing
Every year I want the reminder	Not Found
I already said to remember daily about zoho	daily about zoho
Remind me of id at 9pm today	Not Found
Thanks for reminding me..	Not Found
Sure thx	Not Found
Remind me at 7 pm	Not Found
Wil my phn ring during reminder	Not Found
Remind me that I need to buy a c	buy a c
Set a reminder to get study at 10:00 am of todat	get study
Reminder to buy fruits every Wednesday at 6pm	buy fruits
Thanku. Pls make sure I get a reminder every alternate days from Saturday .	Not Found
Remind me to install uber at 2.30am today	install uber
Remind me to take my admit card at 7:00 am today	take my admit card
Also a reminder for every month for loan payment	loan payment
Do I need internet in order for reminders to reach me?	Do I need internet and reach me
Remind me board bus at 4:30 pm	board bus
can i pls get a reminder at 7:00pm today	Not Found
Remind me tomorrow at 12:00pm to make a transfer form	make a transfer form
Can you remind someone else about some activities on my behalf	else about some activities on my behalf
Yes. Good job. I am impressed. I would love to be reminded everyday	Not Found
Remind me to pick up the laundry at 7pm.	pick up the laundry
will u remind me for making dinner	making dinner
Thank you for the reminder :)	Not Found
Can u remind me to check fridge at 10.15 am today	check fridge
Remind me to search for uceed....	search for uceed....
Remind me to take a pillow.	take a pillow
I want to set reminders for location	location
remind me on evey thursday at 2:30 that ..there is a toast master event at 4S or 3S milan	..there and or 3S milan
Can you just delete the last reminder I fixed last night.	I fixed last night
Call Sowmya at 8	Call Sowmya
But send me reminder from 10.30 am to 8.30 am	Not Found
Pls go ahead	Not Found
I want to set a reminder for someone else	someone else
Reminds	Not Found
Remind me to make payment of Dhamma Reliance Energy on 02-01-2017 on 11:00am	make payment of Dhamma Reliance Energy
Reminder for booking tickets to Kota on 22nd November	booking tickets to Kota
Remind me at 3pm to take bag from shelly	take bag from shelly
Pls remind me for job healthcare for tomorrow at 4:30pm	job healthcare
Pls remind me to chk indian overseas bank tomorrow at 1pm	chk indian overseas bank
Please remind me everyday.	Not Found
Also remind me to leave for bandra by 11am today	leave for bandra
Can we sync birthday dates from Facebook?	we sync birthday dates from Facebook
Set a reminder at 3 pm	Not Found
Wish Birthday Name: Atharv Date: November 9, 2016 Time: 4 00 PM	Not Found
Hi. Can you remind me to meet my son before British Council around 3:30pm, set reminder for 12pm.	meet my son before British Council around
Reminder for dr appointment tomorrow at 5:30	dr appointment
So 2 reminder for 29th Nov	Not Found
Please remind me to send my article at 10.00 am on 21st	send my article
Thanks for remind	Not Found
I want reminder at 1.00pm for going to corporation	going to corporation
I need a alarm on 1:51pm today	I need a alarm
Reminder about disconnection of wimax tomorrow at 11.30	disconnection of wimax
Alright, your reminder is set for 09:00 am on Fri, 30 December. Have a great day ahead :)	set for 09:00 am on Fri and Have a great day ahead :)
Thank you so much for the reminders !	Not Found
remind me 4pm	Not Found
Please set five minutes interval reminder before that	Not Found
I turned iff all reminders	Not Found
I will let u kno	Not Found
Set a daily reminder	Not Found
Call Kalil/ Lic rajendra@ 11am today	Call Kalil/ Lic rajendra
Also remind me that i have to go for friend meet at 3 pm	go for friend meet
Morning alarm shraddha	Not Found
Can you please all alarm reminders	alarm reminders
Plz set it in way to notify me for what the reminder is	what the reminder
Also set a reminder to book tatkal ticket on 13 jan	book tatkal ticket
Morng 7.30	Not Found
Call me nw	Not Found
Set reminder of drinking safi at 11:45pm	drinking safi
and remind me to complete the internship project	complete the internship project
Akash. Remind to speak to Harikesh tomorrow at 0900 hrs	speak to Harikesh
Please set my alaram 4 30 am November 26	Not Found
I want you only one time to remind me pls	Not Found
Remind me to get iron clothes from shop at 10 pm today	get iron clothes from shop
mk sure tht mujhe everyday jarurat na pade reminder set karneki	Not Found
Remind me today evening at 7pm	Not Found
Can u give me a reminder at 8pm today?	give me a reminder
And remind at 7:05 p.m in the evening to logout daily	Not Found
For yr remember to me I want to on my internet	I want to on my internet
Sure. Can you remind me everyday without me having to tell you?	tell you?
Remaind me to take tablets 10.30	take tablets 10.30
Hey ...could u tell me about this app	tell me about this app
Okie enough reminders😊	Okie enough reminders
I wana set a reminder	Not Found
Can you please reschedule this reminder for one hour????	Not Found
Can u remind me to text papa after 5min	text papa
Just one day reminder to design	design
G	Not Found
Why nt	Not Found
Remind me for the travel , please.... Need to board the bus at 4 pm today so need to leave at 3.15... Thanks	the travel and board the bus and leave
Do u have any idea about PMP	any idea about PMP
Zahra	Not Found
You forgot to remind me	Not Found
Want to know more about yu	know more about yu
Kindly remind me to print air ticket tomorrow at 1.pm	print air ticket
Thanks for the reminders prabhushankar	the reminders prabhushankar
Why did you guys called	Not Found
Can yu remind me to go to I.T computer class tommorow at 2PM?	go to I.T computer class
Set the remainder of practical at 2.40 pm on 5-12-2016	Not Found
Call me on 7977461526	Call me
Remind me at 9 am	Not Found
I need to call ashish today at 9.30	call ashish
Remind me tomorrow at 11am to unpack velvet suits	unpack velvet suits
Could you set it up for everyday?	Not Found
Dec 11 prabitha birthday .. please remind me on Dec 10	Dec 11 prabitha birthday
What if I miss the call?	miss the call
Same reminder at 11.30	Same reminder
Remind me to message everyone and wish happy new year at 11 o clock tomorrow mor	message everyone and wish happy new year at 11 o clock tomorrow mor
Remind for 4 pm	Not Found
And a same reminder for 6pm	Not Found
Remind me at 11:55 today	Not Found
Thanks for the reminder!	Not Found
Give a general reminder at 10:23 pm	Give a general reminder
Remind me to get background pictures printed from Duggal Shop	get background pictures printed
From calling yeah SMS REMAINDER	Not Found
Remind me to meet wood fire grill on friday 3pm	meet wood fire grill
Set the alarm for today	Set the alarm
